Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
,,,,,,,,,,,,,,,,,,,,,,,,,
1800,6,2,20,17,,2,1,,0,,,,1,,,,,,,,,,,PORTUGAL,AZORES
1802,1,4,7,,,2,1,,0,45.3,14.4,,3,,3,,,,,,,,,CROATIA,BAKAR
1802,3,19,,,,2,1,,0,17.2,-62.4,,2,,,,,,,,,,,ANTIGUA AND BARBUDA,ANTIGUA ISLAND & ST. CHRISTOPHER
1802,8,10,,,,1,0,,0,,,,2,,,,,,,,,,,UK,SW ENGLAND
1802,8,15,,,,3,1,,0,10.3,-64.5,,1,,,,,,,,,,,VENEZUELA,CUMANA
1802,8,,,,,2,1,,0,-3.7,128.2,,1,1,1.5,,,,,,2,,,INDONESIA,BANDA SEA
1802,11,7,10,45,,3,1,,0,36.5,2.9,,1,,2,,,,,,3,1100,,ALGERIA,HARBOUR OF ALGIERS
1802,12,9,5,,,4,1,6.6,0,37.7,138.3,,1,0,,19,,,,,3,1060,,JAPAN,NW. HONSHU ISLAND
1804,1,8,,,,1,1,,0,38.2,21.8,,0,,,,,,,,,,,GREECE,"PELOPONNESUS, GREECE"
1804,1,13,17,45,,4,1,,0,36.833,-2.833,,2,,2,,,,,,1,,,SPAIN,ALBORAN SEA
1804,6,8,3,,,3,1,6.7,0,38.3,21.8,,1,,3,,,,,,,,,GREECE,CORINTHOS-PATRAS GULF
1804,7,10,13,,,4,1,7.3,0,39.05,139.95,1,2,0.5,1,450,,,,,4,10810,300,JAPAN,NW. HONSHU ISLAND
1804,7,31,22,,,2,0,,0,,,,1,,3,,,,,,,,,ITALY,BAY OF NAPLES
1805,1,8,,,,1,0,,0,,,,0,,,,,,,,,,,GREECE,GULF OF PATRAS
1805,5,8,,,,3,0,,0,-29.06,167.95,5,1,,,,,,,,1,1,,AUSTRALIA,NORFOLK ISLAND
1805,7,26,20,57,,4,1,6.6,0,41.5,14.467,,1,,2,,,,,,,,,ITALY,CAMPANIA
1806,3,25,8,,,2,1,,0,34.4,-119.7,,1,,,,,,,,,,,USA,"SANTA BARBARA, S. CALIFORNIA"
1806,8,26,13,20,,2,1,,0,41.7,12.7,,1,,2,,,,,,,,,ITALY,TERRACINA
1806,12,1,23,,,3,1,7.5,0,-12.1,-77.1,1,1,,0.5,,,,,,1,,,PERU,CENTRAL PERU
1806,,,,,,2,0,,0,-9,-139,1.5,1,,,,,,,,1,,,FRENCH POLYNESIA,NUKU HIVA ISLAND
1808,4,2,16,43,,2,1,5.7,0,44.833,7.25,0.15,1,,2,2,,,,,1,,,ITALY,ITALIAN COAST
1808,8,8,,,,4,1,6.5,0,33.9,134.8,1.5,1,0.5,0.5,,,,,,,,,JAPAN,"E. AWA, TOKUSHIMA PREFECTURE"
1808,12,4,,,,1,0,,0,,,,1,,,,,,,,,,,JAPAN,TOKAIDO
1809,7,3,,,,2,1,,0,44.8,7.2,,1,,3,,,,,,,,,ITALY,GULF OF LA SPEZIA
1809,7,4,,,,1,0,,0,,,,0,,,,,,,,,,,PORTUGAL,PORTUGAL
1809,12,4,,,,1,1,,0,-33.88,18.45,,2,,,,,,,,1,,,SOUTH AFRICA,CAPE OF GOOD HOPE
1809,,,,,,1,1,,0,14,143.3,,1,,,,,,,,,,,USA TERRITORY,"GUAM, MARIANA ISLANDS"
1810,2,16,,,,0,1,,0,35.5,25,,2,,,,,,,,,,,GREECE,CRETE
1810,8,27,,,,4,3,7.4,0,26,-111.35,,9,,,,,,,,2,,,MEXICO,MEXICO
1810,9,25,,,,4,1,6.6,0,39.9,139.9,1,1,1,0,57,,,,,3,1084,,JAPAN,NW. HONSHU ISLAND
1810,,,,,,2,0,,0,,,,0,,,,,,,,,,,NEW ZEALAND,NEW ZEALAND
1810,,,,,,4,8,,0,69.433,20.15,,0,,6,,,,,,,,,NORWAY,NORTHERN NORWAY
1811,11,19,14,15,,2,1,,0,-33,-71.4,4,1,2,2,,,,,,,,,CHILE,CENTRAL CHILE
1811,12,16,8,15,,0,1,8.5,0,35.6,-90.4,,4,,,,,,,,3,,,USA,AR: NE -  NEW MADRID EARTHQUAKES
1811,12,16,14,15,,0,1,8,0,35.6,-90.4,,1,,,,,,,,,,,USA,AR: NE  - NEW MADRID EARTHQUAKES
1812,1,23,15,0,,0,1,8.4,0,36.3,-89.6,,1,,,,,,,,,,,USA,"NEW MADRID, MO"
1812,2,7,9,45,,0,1,8.8,0,36.5,-89.6,,1,,,,,,1,,3,,,USA,"NEW MADRID, MO"
1812,3,26,20,7,,2,1,7.7,0,10.6,-66.9,,1,,,26000,,,,,3,,,VENEZUELA,LA GUAIRA
1812,6,23,,,,2,2,,0,43.3,5.366,,1,,,,,,,,,,,FRANCE,MARSEILLES
